Plot,Q1,Q2,Q3,Q4,Q5,Genre
"The film is about a family who move to the suburbs, hoping for a quiet life. Things start to go wrong, and the wife gets violent and starts throwing crockery, leading to her arrest.",1,1,0,0,1,comedy
"Before heading out to a baseball game at a nearby ballpark, sports fan Mr. Brown drinks several highball cocktails. He arrives at the ballpark to watch the game, but has become so inebriated that the game appears to him in reverse, with the players running the bases backwards and the baseball flying back into the pitcher's hand. After the game is over, Mr. Brown is escorted home by one of his friends. When they arrive at Brown's house, they encounter his wife who becomes furious with the friend and proceeds to physically assault him, believing he is responsible for her husband's severe intoxication.[1]",1,0,0,0,1,comedy
"The plot is that of a black woman going to the dentist for a toothache and being given laughing gas. On her way walking home, and in other situations, she can't stop laughing, and everyone she meets ""catches"" the laughter from her, including a vendor and police officers.",1,1,0,0,1,comedy
"On a beautiful summer day a father and mother take their daughter Dollie on an outing to the river. The mother refuses to buy a gypsy's wares. The gypsy tries to rob the mother, but the father drives him off. The gypsy returns to the camp and devises a plan. They return and kidnap Dollie while her parents are distracted. A rescue crew is organized, but the gypsy takes Dollie to his camp. They gag Dollie and hide her in a barrel before the rescue party gets to the camp. Once they leave the gypsies and escapes in their wagon. As the wagon crosses the river, the barrel falls into the water. Still sealed in the barrel, Dollie is swept downstream in dangerous currents. A boy who is fishing in the river finds the barrel, and Dollie is reunited safely with her parents.",1,1,0,1,1,drama
"A thug accosts a girl as she leaves her workplace but a man rescues her. The thug vows revenge and, with the help of two friends, attacks the girl and her rescuer again as they're going for a walk. This time they succeed in kidnapping the rescuer. He is bound and gagged and taken away in a cart. The girl runs home and gets help from several neighbors. They track the ruffians down to a cabin in the mountains where the gang has trapped their victim and set the cabin on fire. A thug and Rescuer fight on the roof of the house.",1,0,0,0,1,drama
"A young couple decides to elope after being caught in the midst of a romantic moment by the woman's angry father. They make plans to leave, but a thief discovers their plans and hides in their trunk and waits for the right moment to steal their belongings.",1,1,0,0,1,comedy
"No prints of the first American film adaptation of A Christmas Carol are known to exist,[1] but The Moving Picture World magazine provided a scene-by-scene description before the film's release.[2] Scrooge goes into his office and begins working. His nephew, along with three women who wish for Scrooge to donate enter. However, Scrooge dismisses them. On the night of Christmas Eve, his long-dead partner Jacob Marley comes as a ghost, warning him of a horrible fate if he does not change his ways. Scrooge meets three spirits that show Scrooge the real meaning of Christmas, along with his grave, the result of his parsimonious ways. The next morning, he wakes and realizes the error of his ways. Scrooge was then euphoric and generous for the rest of his life.",1,1,0,1,1,drama
"A rejected admirer sets up a trap to kill his sweetheart and her fiance before they married and then commit suicide, but before he passes away, he leaves a confession. Fortunately the confession is found on time and a police man runs to the church to save the couple.",1,1,0,1,1,drama
"John Wharton, the husband of a true and trusting wife and father of an eight-year-old girl, through the association of rakish companions becomes addicted to the drink habit, and while the demon rum has not fastened its tentacles firmly, there is no question that given free rein the inevitable would culminate in time. Arriving home one afternoon in a wine besotted condition, he is indeed a terrifying spectacle to his little family. Later, after he has slept off the effects to some extent, while at supper, the little girl shows him two tickets for the theater, begging him to take her. After some persuasion he consents to go. The play is a dramatization of Émile Zola's L'Assommoir, which shows how short a journey it is from peace and happiness to woe and despair by the road of rum. At the final curtain of the play, he is a changed man, going homeward with a firm determination that he will drink no more, which he promises his wife upon his return. Two years later we find the little family seated, happy and peaceful, at the fireside and we know that the promise has been kept.",1,1,0,1,0,drama
"An old woman sends a girl begging in the streets of Paris on a snowy evening. Callous revelers pass her by, and she falls asleep before one donor finally drops a golden Louis in her shoe. A gambler with a sure tip on roulette but no cash borrows the coin to win a fortune for the girl. She wakes, and the two miss each other wandering the streets until the gambler finds the girl dead.",1,1,0,1,1,drama
Mary Pickford plays Priscilla an unemployed maid who finds work at a farm. There she meets a no-good peddler who starts flirting with her and makes her fall in love with him. He runs up a gambling bill and asks her to help him pay his debts or he won't be able to marry her.[1],1,0,0,0,1,drama
"Hemlock Hoax is a detective who has little respect in the small tropical town where he lives, despite the fact that he thinks he is a better sleuth than Sherlock Holmes. A pair of boys decide to play a trick on Hoax and tell him about a murder. Hoax rushes to scene of the crime where he discovers a shred of cloth, later finding that a tramp is wearing the same type of clothes that he found. The tramp runs away and Hoax gives chase, with other people helping the pursuit. Eventually, Hoax captures the tramp with the aid of a police officer, and returns to the victim's body with the man. Hoax then comes to a realization that the body was just a dummy that had been stuffed with the leaves. The crowd has a laugh at Hoax's expense while the two boys are punished.[1]",1,0,0,0,1,comedy
"During the American Civil War a young soldier loses his nerve in battle and runs away to his home to hide; his sister puts on his uniform, takes her brother's place in the battle, and is killed. Their mother, not wanting the shameful truth to become known, closes all the shutters (hence the film's title) and keeps her son's presence a secret for many years, until two boyhood chums stumble upon the truth.",1,1,0,1,1,drama
"An Irish boy (Olcott) emigrates to America to escape the desperate poverty of Ireland. After finding work in construction, he finds success in politics. He returns to Ireland after receiving a letter from his sweetheart (Gauntier) just as her destitute family is being forced off their land.[3]",1,1,0,1,1,drama
"Ramona chronicles the romance between Ramona (Mary Pickford), a Spanish orphan from the prestigious Moreno family, and Alessandro (Henry B. Walthall), an Indian who appears on her family's ranch one day. A man named Felipe (Francis J. Grandon) proclaims his love for Ramona, but she rejects him because she has fallen for Alessandro. They fall deeply in love, yet their desire to wed is denied by Ramona's stepmother, who reacts by exiling Alessandro from her ranch. He returns to his village, only to find that it has been demolished by white men. Meanwhile, Ramona is informed that she also has ""Indian blood"", which leads her to abandon everything she has to be with Alessandro. They marry, and live among the wreckage of Alessandro's devastated village. They have a child together and live at peace until the white men come to force them from their home as they claim the land. Their baby perishes, and then Alessandro is then killed by the white men. Ramona is then rescued by Felipe and returned to her family back on the ranch.[3]",1,0,0,1,1,drama
"The novel is set in the reign of ""old King Henry VI"" (1422–1461, 1470–1471) and during the Wars of the Roses (1455–1487). The story begins with the Tunstall Moat House alarm bell, rung to summon recruits for its absent lord Sir Daniel Brackley, to join the Battle of Risingham; at which the outlaw ""fellowship"" known as ""the Black Arrow"" begins to strike with its ""four black arrows"" for the ""four black hearts"" of Brackley and three of his retainers: Nicholas Appleyard, Bennet Hatch, and Sir Oliver Oates, the parson. The rhyme posted in explanation of this attack, makes the protagonist Richard ('Dick') Shelton, ward of Sir Daniel, curious about the death of his father Sir Harry Shelton. Having been dispatched to Kettley, where Sir Daniel was quartered, and sent to Tunstall Moat House by return dispatch, he falls in with a fugitive, Joanna Sedley, disguised as a boy with the alias of John Matcham: an heiress kidnapped by Sir Daniel to obtain guardianship over her and to retain his control over Richard by marrying her to him.
As they travel through Tunstall Forest, Joanna tries to persuade Dick to turn against Sir Daniel in sympathy with the Black Arrow outlaws, whose camp they discover near the ruins of Grimstone manor. The next day they are met in the forest by Sir Daniel himself, disguised as a leper and returning to the Moat House after his side was defeated at Risingham. Dick and Joanna then follow Sir Daniel to the Moat House. Here Dick confirms that Sir Daniel is the murderer of his father, and escapes injured from the Moat House. He is rescued by the outlaws of the Black Arrow.
The second half of the novel, Books 3–5, tells how Dick rescues Joanna from Sir Daniel with the help of both the Black Arrow fellowship and the Yorkist army led by Richard Crookback, the future Richard III of England. It centres on Shoreby, where the Lancastrian forces are entrenched. Robert Louis Stevenson inserts seafaring adventure in chapters 4–6 of Book 3, wherein Dick and the outlaws steal a ship and attempt a seaside rescue of Joanna. They are unsuccessful, and after Joanna is moved to Sir Daniel's main quarters in Shoreby, Dick visits her in the guise of a Franciscan friar. Stevenson, the populariser of the tales of the Arabian nights, has Dick tell the tale of Ali Baba and the Forty Thieves in Book 4, chapter 6 to help him escape from the ruined sea captain Arblaster, whose ship Dick and the outlaws had stolen.
While shadowing Sir Daniel, Dick and the outlaws encounter another group of spies interested in Joanna. After a skirmish in which the outlaws prevail, Dick finds that he has conquered Joanna's lawful guardian, Lord Foxham, who promises to give Joanna to Dick in marriage after a contemplated seaside rescue. There is irony in Foxham scolding Dick, who is nobly born, for consorting with outlaws when the outlaws are recruited in Dick and Foxham's plans to rescue Joanna. Wounded in the failed seaside rescue, Foxham writes letters of recommendation for Dick to Richard Crookback, whom Dick must find on the outskirts of Shoreby.
Richard Crookback, Duke of Gloucester, makes his appearance in Book 5. As Dick is leaving Shoreby he sees Crookback holding his own against seven or eight Lancastrian assailants, and assists his victory. Dick's accurate knowledge of the Lancastrian forces in Shoreby aid Crookback in winning the battle that he wages later that day. Dick is also successful as one of Crookback's commanders. Crookback knights Dick on the field of battle and, following their victory, gives him fifty horsemen to pursue Sir Daniel, who has escaped Shoreby with Joanna. Dick succeeds in rescuing Joanna, but loses his men in the process. He, Joanna, and Alicia Risingham travel to Holywood where he and Joanna are married. In this way he keeps his initial pledge to Joanna to convey her safely to Holywood.
In the early morning of his wedding day Dick encounters a fugitive Sir Daniel trying to enter Holywood seaport to escape to France or Burgundy. Because it is his wedding day, Dick does not want to soil his hands with Sir Daniel's blood, so he simply bars his way by challenging him either to hand-to-hand combat or alerting a Yorkist perimeter patrol. Sir Daniel retreats, but is shot by Ellis Duckworth (the outlaws' captain) with the last black arrow. Thereafter Sir Richard and Lady Shelton live in Tunstall Moat House untroubled by the rest of the Wars of the Roses. They provide for both Captain Arblaster and the outlaw Will Lawless by pensioning them and settling them in Tunstall hamlet, where Lawless does a volte face by returning to the Franciscan order, taking the name, Brother Honestus.",1,1,0,1,1,drama
"The story deals with Tom Brown's efforts to save his fiance's ""black sheep"" brother Wilfred Kenyon from disgrace. An unfortunate state of affairs exists between Wilfred and Marion Thorne, the sister of Gerald, who is stroking the varsity crew. The situation is misunderstood by all but Tom. Matters reach a climax on the day the big boat race between Harvard and a champion English crew. Thorne as he is about to enter the boat is given an anonymous note to the effect that Marion is about to leave town with one of the college men. He throws the race and rashes to his sister, whom he finds in possession of Tom's check for an amount to cover her expenses. The check has been forged by Wilfred. Crazed with grief and anger, he rushes back to the boathouse. In the meantime, Tom Brown, Thorne's substitute has stroked the Harvard crew to victory and he is faced by the irate Thorne, who brands him as a scoundrel, producing the check to substantiate his charges. Brown remains silent preferring to be misunderstood rather than expose his loved one's brother. Wilfred confesses and wrongs are righted.",1,0,0,1,1,drama
"""David Copperfield consists of three reels and as three separate films, released in three consecutive weeks, with three different titles: The Early Life of David Copperfield, Little Em'ly and David Copperfield and The Loves of David Copperfield.[4]",1,0,0,0,1,drama
